Survived,Pclass,Sex,Age,Fare,Embarked,Family_size
0,third,male,22.0,2.3043724544848647,S,1
1,first,female,38.0,5.015437768039126,C,1
1,third,female,26.0,2.398221310352146,S,0
1,first,female,35.0,4.723612218851696,S,1
0,third,male,35.0,2.4148822025895167,S,0
0,third,male,28.0,2.4678692855831668,Q,0
0,first,male,54.0,4.69151431817404,S,0
0,third,male,2.0,3.523796061248209,S,4
1,third,female,27.0,2.770564334584179,S,2
1,second,female,14.0,3.970924838813709,C,1
1,third,female,4.0,3.241481118382464,S,2
1,first,female,58.0,3.8121732488288633,S,0
0,third,male,20.0,2.4148822025895167,S,0
0,third,male,39.0,4.0214448601989,S,6
0,third,female,14.0,2.3886893355718013,S,0
1,second,female,55.0,3.190458558560287,S,0
0,third,male,2.0,3.929969396549108,Q,5
1,second,male,28.0,2.9473095617168967,S,0
0,third,female,31.0,3.3315096839855767,S,1
1,third,female,28.0,2.3007628978459755,C,0
0,second,male,35.0,3.7857078329768887,S,0
1,second,male,34.0,2.9473095617168967,S,0
1,third,female,15.0,2.412124536325277,Q,0
1,first,male,28.0,4.185977149422453,S,0
0,third,female,8.0,3.523796061248209,S,4
1,third,female,38.0,4.026075828701417,S,6
0,third,male,28.0,2.3007628978459755,C,0
0,first,male,19.0,5.015437768039126,S,5
1,third,female,28.0,2.3920631093260445,Q,0
0,third,male,28.0,2.394298482187998,S,0
0,first,male,40.0,3.86693304395085,C,0
1,first,female,28.0,5.015437768039126,C,1
1,third,female,28.0,2.3745326220959444,Q,0
0,second,male,66.0,2.704889119955267,S,0
0,first,male,28.0,5.015437768039126,C,1
0,first,male,42.0,4.695114608316313,S,1
1,third,male,28.0,2.3013700064551847,C,0
0,third,male,21.0,2.4148822025895167,S,0
0,third,female,18.0,3.3315096839855767,S,2
1,third,female,14.0,2.781489188605697,C,1
0,third,female,40.0,2.5912051900167388,S,1
0,second,female,27.0,3.519407197147049,S,1
0,third,male,28.0,2.394298482187998,C,0
1,second,female,3.0,4.39437746047154,C,3
1,third,female,19.0,2.3920631093260445,Q,0
0,third,male,28.0,2.4148822025895167,S,0
0,third,male,28.0,3.152819522300036,Q,1
1,third,female,28.0,2.3745326220959444,Q,0
0,third,male,28.0,3.558661819728736,C,2
0,third,female,18.0,3.318034348923242,S,1
0,third,male,7.0,4.332625767324704,S,5
