PassengerId,Survived,Pclass,Sex,Age,Embarked,transformed_fare_boxcox,family_size
1,0.0,third,male,22.0,S,2.1981882907468275,1
2,1.0,first,female,38.0,C,4.5696911238312605,1
3,1.0,third,female,26.0,S,2.2836076731051764,0
4,1.0,first,female,35.0,S,4.313318787437226,1
5,0.0,third,male,35.0,S,2.298741416634416,0
6,0.0,third,male,28.0,Q,2.3468105394852716,0
7,0.0,first,male,54.0,S,4.286352973503965,0
8,0.0,third,male,2.0,S,3.286066879684541,4
9,1.0,third,female,27.0,S,2.6196507413709242,2
10,1.0,second,female,14.0,C,3.673621457919572,1
11,1.0,third,female,4.0,S,3.0383301841784434,2
12,1.0,first,female,58.0,S,3.5366841629052153,0
13,0.0,third,male,20.0,S,2.298741416634416,0
14,0.0,third,male,39.0,S,3.717048828884125,6
15,0.0,third,female,14.0,S,2.2749452586250603,0
16,1.0,second,female,55.0,S,2.9932996802796334,0
17,0.0,third,male,2.0,Q,3.638362694208615,5
18,1.0,second,male,28.0,S,2.777603181054726,0
19,0.0,third,female,31.0,S,3.1175925678666054,1
20,1.0,third,female,28.0,C,2.194897059312226,0
21,0.0,second,male,35.0,S,3.513785040735813,0
22,1.0,second,male,34.0,S,2.777603181054726,0
23,1.0,third,female,15.0,Q,2.2962371562421495,0
24,1.0,first,male,28.0,S,3.857983801189261,0
25,0.0,third,female,8.0,S,3.286066879684541,4
26,1.0,third,female,38.0,S,3.721026028519933,6
27,0.0,third,male,28.0,C,2.194897059312226,0
28,0.0,first,male,19.0,S,4.5696911238312605,5
29,1.0,third,female,28.0,Q,2.2780116031497357,0
30,0.0,third,male,28.0,S,2.2800430731121577,0
31,0.0,first,male,40.0,C,3.5840008578674367,0
32,1.0,first,female,28.0,C,4.5696911238312605,1
33,1.0,third,female,28.0,Q,2.2620744220130624,0
34,0.0,second,male,66.0,S,2.5607050610158515,0
35,0.0,first,male,28.0,C,4.5696911238312605,1
36,0.0,first,male,42.0,S,4.289378979298662,1
37,1.0,third,male,28.0,C,2.1954506578746154,0
38,0.0,third,male,21.0,S,2.298741416634416,0
39,0.0,third,female,18.0,S,3.1175925678666054,2
40,1.0,third,female,14.0,C,2.6294427589688523,1
41,0.0,third,female,40.0,S,2.458341308455669,1
42,0.0,second,female,27.0,S,3.2822338191845852,1
43,0.0,third,male,28.0,C,2.2800430731121577,0
44,1.0,second,female,3.0,C,4.035415412562265,3
45,1.0,third,female,19.0,Q,2.2780116031497357,0
46,0.0,third,male,28.0,S,2.298741416634416,0
47,0.0,third,male,28.0,Q,2.9600298510183527,1
48,1.0,third,female,28.0,Q,2.2620744220130624,0
49,0.0,third,male,28.0,C,3.3164969893187175,2
50,0.0,third,female,18.0,S,3.105744333609867,1
51,0.0,third,male,7.0,S,3.982964745615282,5
52,0.0,third,male,21.0,S,2.2682687338887018,0
53,1.0,first,female,49.0,C,4.5696911238312605,1
54,1.0,second,female,29.0,S,3.513785040735813,1
55,0.0,first,male,65.0,C,4.491012474699001,1
56,1.0,first,male,28.0,S,3.857983801189261,0
57,1.0,second,female,21.0,S,2.5607050610158515,0
58,0.0,third,male,28.5,C,2.1954506578746154,0
59,1.0,second,female,5.0,S,3.585157086399766,3
60,0.0,third,male,11.0,S,4.171744290884533,7
61,0.0,third,male,22.0,C,2.1954506578746154,0
62,1.0,first,female,38.0,S,4.5696911238312605,0
63,0.0,first,male,45.0,S,4.5696911238312605,1
64,0.0,third,male,4.0,S,3.5910788749873976,5
65,0.0,first,male,28.0,C,3.5840008578674367,0
66,1.0,third,male,28.0,C,2.942741925808172,2
67,1.0,second,female,29.0,S,2.5607050610158515,0
68,0.0,third,male,19.0,S,2.3116916586980913,0
69,1.0,third,female,17.0,S,2.2836076731051764,6
70,0.0,third,male,26.0,S,2.3701073156699786,2
71,0.0,second,male,32.0,S,2.5607050610158515,0
72,0.0,third,female,16.0,S,4.171744290884533,7
73,0.0,second,male,21.0,S,4.5696911238312605,0
74,0.0,third,male,26.0,C,2.887189329279823,1
75,1.0,third,male,32.0,S,4.384376372619725,0
76,0.0,third,male,25.0,S,2.249583025464899,0
77,0.0,third,male,28.0,S,2.2800430731121577,0
78,0.0,third,male,28.0,S,2.298741416634416,0
79,1.0,second,male,0.83,S,3.633623358212787,2
80,1.0,third,female,30.0,S,2.735330919128178,0
81,0.0,third,male,22.0,S,2.4075935973283236,0
82,1.0,third,male,29.0,S,2.4609505506652085,0
83,1.0,third,female,28.0,Q,2.2667233346585505,0
84,0.0,first,male,28.0,S,4.176579722725889,0
85,1.0,second,female,17.0,S,2.5607050610158515,0
86,1.0,third,female,33.0,S,2.983418614506399,3
87,0.0,third,male,16.0,S,3.8220543195361,4
88,0.0,third,male,28.0,S,2.298741416634416,0
89,1.0,first,female,23.0,S,4.5696911238312605,5
90,0.0,third,male,24.0,S,2.298741416634416,0
91,0.0,third,male,29.0,S,2.298741416634416,0
92,0.0,third,male,20.0,S,2.2749452586250603,0
93,0.0,first,male,46.0,S,4.475945405394655,1
94,0.0,third,male,26.0,S,3.260272909051386,3
95,0.0,third,male,59.0,S,2.1981882907468275,0
96,0.0,third,male,28.0,S,2.298741416634416,0
97,0.0,first,male,71.0,C,3.831072642025575,0
98,1.0,first,male,23.0,C,4.516425055097299,1
99,1.0,second,female,34.0,S,3.380390678554293,1
100,0.0,second,male,34.0,S,3.513785040735813,1
101,0.0,third,female,28.0,S,2.2800430731121577,0
102,0.0,third,male,28.0,S,2.2800430731121577,0
103,0.0,first,male,21.0,S,4.5696911238312605,1
104,0.0,third,male,33.0,S,2.36916965439768,0
105,0.0,third,male,37.0,S,2.2836076731051764,2
106,0.0,third,male,28.0,S,2.2800430731121577,0
107,1.0,third,female,21.0,S,2.249583025464899,0
108,1.0,third,male,28.0,S,2.2651758202163546,0
109,0.0,third,male,38.0,S,2.2800430731121577,0
110,1.0,third,female,28.0,Q,3.433325976064744,1
111,0.0,first,male,47.0,S,4.289378979298662,0
112,0.0,third,female,14.5,C,2.887189329279823,1
113,0.0,third,male,22.0,S,2.298741416634416,0
114,0.0,third,female,20.0,S,2.4943376391827377,1
115,0.0,third,female,17.0,C,2.8874840443391774,0
116,0.0,third,male,21.0,S,2.2836076731051764,0
117,0.0,third,male,70.5,Q,2.2620744220130624,0
118,0.0,second,male,29.0,S,3.2822338191845852,1
119,0.0,first,male,24.0,C,4.5696911238312605,1
120,0.0,third,female,2.0,S,3.717048828884125,6
121,0.0,second,male,21.0,S,4.5696911238312605,2
122,0.0,third,male,28.0,S,2.298741416634416,0
123,0.0,second,male,32.5,C,3.673621457919572,1
124,1.0,second,female,32.5,S,2.777603181054726,0
125,0.0,first,male,54.0,S,4.5696911238312605,1
126,1.0,third,male,12.0,C,2.6294427589688523,1
127,0.0,third,male,28.0,Q,2.2620744220130624,0
128,1.0,third,male,24.0,S,2.1838608277962637,0
129,1.0,third,female,28.0,C,3.3497825226455333,2
130,0.0,third,male,45.0,S,2.1614452249264473,0
131,0.0,third,male,33.0,C,2.2800430731121577,0
132,0.0,third,male,20.0,S,2.1715854424073235,0
133,0.0,third,female,47.0,S,2.890477249736815,1
134,1.0,second,female,29.0,S,3.513785040735813,1
135,0.0,second,male,25.0,S,2.777603181054726,0
136,0.0,second,male,23.0,C,2.9289562796212927,0
137,1.0,first,female,19.0,S,3.525635610408596,2
138,0.0,first,male,37.0,S,4.313318787437226,1
139,0.0,third,male,16.0,S,2.4310264731825035,0
140,0.0,first,male,24.0,C,4.5696911238312605,0
141,0.0,third,female,28.0,C,2.942741925808172,2
142,1.0,third,female,22.0,S,2.2620744220130624,0
143,1.0,third,female,24.0,S,2.983418614506399,1
144,0.0,third,male,19.0,Q,2.1304649486697054,0
145,0.0,second,male,18.0,S,2.6524436113448986,0
146,0.0,second,male,19.0,S,3.896677296966609,2
147,1.0,third,male,27.0,S,2.26774971533858,0
148,0.0,third,female,9.0,S,3.8220543195361,4
149,0.0,second,male,36.5,S,3.513785040735813,2
150,0.0,second,male,42.0,S,2.777603181054726,0
151,0.0,second,male,51.0,S,2.7394244635684193,0
152,1.0,first,female,22.0,S,4.5696911238312605,1
153,0.0,third,male,55.5,S,2.298741416634416,0
154,0.0,third,male,40.5,S,2.890477249736815,2
155,0.0,third,male,28.0,S,2.2063745981486207,0
156,0.0,first,male,51.0,C,4.47978886204259,1
157,1.0,third,female,16.0,Q,2.259997937603898,0
158,0.0,third,male,30.0,S,2.298741416634416,0
159,0.0,third,male,28.0,S,2.3701073156699786,0
160,0.0,third,male,28.0,S,4.5696911238312605,10
161,0.0,third,male,44.0,S,2.999840590640557,1
162,1.0,second,female,40.0,S,2.976784137928168,0
163,0.0,third,male,26.0,S,2.2651758202163546,0
164,0.0,third,male,17.0,S,2.3701073156699786,0
165,0.0,third,male,1.0,S,3.982964745615282,5
166,1.0,third,male,9.0,S,3.2576619762286407,2
167,1.0,first,female,28.0,S,4.3535878320536785,1
168,0.0,third,female,45.0,S,3.5910788749873976,5
169,0.0,first,male,28.0,S,3.5106277399272785,0
170,0.0,third,male,28.0,S,4.384376372619725,0
171,0.0,first,male,61.0,S,3.793341276768074,0
172,0.0,third,male,4.0,Q,3.638362694208615,5
173,1.0,third,female,1.0,S,2.6196507413709242,2
174,0.0,third,male,21.0,S,2.2836076731051764,0
175,0.0,first,male,56.0,C,3.696359075442676,0
176,0.0,third,male,18.0,S,2.2749452586250603,2
177,0.0,third,male,28.0,S,3.4911488239960256,4
178,0.0,first,female,50.0,C,3.6226504238348185,0
179,0.0,second,male,30.0,S,2.777603181054726,0
180,0.0,third,male,36.0,S,0.0,0
181,0.0,third,female,28.0,S,4.5696911238312605,10
182,0.0,second,male,28.0,C,2.929247472656555,0
183,0.0,third,male,9.0,S,3.721026028519933,6
184,1.0,second,male,1.0,S,3.9633198132042438,3
185,1.0,third,female,4.0,S,3.3335640670893585,2
186,0.0,first,male,28.0,S,4.24460149271137,0
187,1.0,third,female,28.0,Q,2.9600298510183527,1
188,1.0,first,male,45.0,S,3.5366841629052153,0
189,0.0,third,male,40.0,Q,2.9600298510183527,2
190,0.0,third,male,36.0,S,2.2800430731121577,0
191,1.0,second,female,32.0,S,2.777603181054726,0
192,0.0,second,male,19.0,S,2.777603181054726,0
193,1.0,third,female,19.0,S,2.2749452586250603,1
194,1.0,second,male,3.0,S,3.513785040735813,2
195,1.0,first,female,44.0,C,3.5840008578674367,0
196,1.0,first,female,58.0,C,4.5696911238312605,0
197,0.0,third,male,28.0,Q,2.2620744220130624,0
198,0.0,third,male,42.0,S,2.340557335611971,1
199,1.0,third,female,28.0,Q,2.2620744220130624,0
200,0.0,second,female,24.0,S,2.777603181054726,0
201,0.0,third,male,28.0,S,2.4609505506652085,0
202,0.0,third,male,28.0,S,4.5696911238312605,10
203,0.0,third,male,34.0,S,2.0944060919178,0
204,0.0,third,male,45.5,C,2.194897059312226,0
205,1.0,third,male,18.0,S,2.298741416634416,0
206,0.0,third,female,2.0,S,2.5571174906961325,1
207,0.0,third,male,32.0,S,2.983418614506399,1
208,1.0,third,male,26.0,C,3.1631078593309896,0
209,1.0,third,female,16.0,Q,2.2620744220130624,0
210,1.0,first,male,40.0,C,3.707270386507969,0
211,0.0,third,male,24.0,S,2.1715854424073235,0
212,1.0,second,female,35.0,S,3.2822338191845852,0
213,0.0,third,male,22.0,S,2.1981882907468275,0
214,0.0,second,male,30.0,S,2.777603181054726,0
215,0.0,third,male,28.0,Q,2.2620744220130624,1
216,1.0,first,female,31.0,C,4.5696911238312605,1
217,1.0,third,female,27.0,S,2.2836076731051764,0
218,0.0,second,male,42.0,S,3.555095180137489,1
